DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
741.0,,20.4711,,,,,Andrew,211/18-9
741.5,,20.7292,,,,,Andrew,211/18-9
742.0,,19.8508,,,,,Andrew,211/18-9
742.5,,17.6796,,,,,Andrew,211/18-9
743.0,,18.8761,,,,,Andrew,211/18-9
743.5,,18.3048,,,,,Andrew,211/18-9
744.0,,16.8671,,,,,Andrew,211/18-9
744.5,,15.5501,,,,,Andrew,211/18-9
745.0,,14.8189,,,,,Andrew,211/18-9
745.5,,14.0877,,,,,Andrew,211/18-9
746.0,,13.4796,,,,,Andrew,211/18-9
746.5,,13.4805,,,,,Andrew,211/18-9
747.0,,13.4813,,,,,Andrew,211/18-9
747.5,,13.3055,,,,,Andrew,211/18-9
748.0,,13.0834,,,,,Andrew,211/18-9
748.5,,13.0843,,,,,Andrew,211/18-9
749.0,,13.0852,,,,,Andrew,211/18-9
749.5,,13.481,,,,,Andrew,211/18-9
750.0,,13.4703,,,,,Andrew,211/18-9
750.5,,13.3671,,,,,Andrew,211/18-9
751.0,,13.2639,,,,,Andrew,211/18-9
751.5,,13.1606,,,,,Andrew,211/18-9
752.0,,12.616,,,,,Andrew,211/18-9
752.5,,12.3175,,,,,Andrew,211/18-9
753.0,,12.4894,,,,,Andrew,211/18-9
753.5,,13.6657,,,,,Andrew,211/18-9
754.0,,15.3999,,,,,Andrew,211/18-9
754.5,,17.1091,,,,,Andrew,211/18-9
755.0,,18.2245,,,,,Andrew,211/18-9
755.5,,17.6499,,,,,Andrew,211/18-9
756.0,,17.0763,,,,,Andrew,211/18-9
756.5,,16.5078,,,,,Andrew,211/18-9
757.0,,16.762,,,,,Andrew,211/18-9
757.5,,17.039,,,,,Andrew,211/18-9
758.0,,16.4364,,,,,Andrew,211/18-9
758.5,,15.6082,,,,,Andrew,211/18-9
759.0,,15.5251,,,,,Andrew,211/18-9
759.5,,15.8848,,,,,Andrew,211/18-9
760.0,,16.4737,,,,,Andrew,211/18-9
760.5,,14.8592,,,,,Andrew,211/18-9
761.0,,12.6335,,,,,Andrew,211/18-9
761.5,,12.8512,,,,,Andrew,211/18-9
762.0,,12.3852,,,,,Andrew,211/18-9
762.5,,12.5202,,,,,Andrew,211/18-9
763.0,,14.6259,,,,,Andrew,211/18-9
763.5,,16.6398,,,,,Andrew,211/18-9
764.0,,16.8681,,,,,Andrew,211/18-9
764.5,,16.9072,,,,,Andrew,211/18-9
765.0,,15.1536,,,,,Andrew,211/18-9
765.5,,14.1125,,,,,Andrew,211/18-9
766.0,,15.7017,,,,,Andrew,211/18-9
766.5,,17.0393,,,,,Andrew,211/18-9
767.0,,17.2068,,,,,Andrew,211/18-9
767.5,,16.9122,,,,,Andrew,211/18-9
768.0,,17.1914,,,,,Andrew,211/18-9
768.5,,17.6575,,,,,Andrew,211/18-9
769.0,,18.1235,,,,,Andrew,211/18-9
769.5,,18.3458,,,,,Andrew,211/18-9
770.0,,18.401,,,,,Andrew,211/18-9
770.5,,18.4562,,,,,Andrew,211/18-9
771.0,,18.5114,,,,,Andrew,211/18-9
771.5,,18.347,,,,,Andrew,211/18-9
772.0,,18.1637,,,,,Andrew,211/18-9
772.5,,17.7334,,,,,Andrew,211/18-9
773.0,,17.1716,,,,,Andrew,211/18-9
773.5,,17.4697,,,,,Andrew,211/18-9
774.0,,17.0752,,,,,Andrew,211/18-9
774.5,,15.4359,,,,,Andrew,211/18-9
775.0,,13.734,,,,,Andrew,211/18-9
775.5,,13.7729,,,,,Andrew,211/18-9
776.0,,14.6261,,,,,Andrew,211/18-9
776.5,,15.0257,,,,,Andrew,211/18-9
777.0,,15.1307,,,,,Andrew,211/18-9
777.5,,14.2746,,,,,Andrew,211/18-9
778.0,,14.8735,,,,,Andrew,211/18-9
778.5,,15.4831,,,,,Andrew,211/18-9
779.0,,16.128,,,,,Andrew,211/18-9
779.5,,16.7324,,,,,Andrew,211/18-9
780.0,,16.7698,,,,,Andrew,211/18-9
780.5,,15.8892,,,,,Andrew,211/18-9
781.0,,15.1429,,,,,Andrew,211/18-9
781.5,,14.505,,,,,Andrew,211/18-9
782.0,,14.1816,,,,,Andrew,211/18-9
782.5,,13.2622,,,,,Andrew,211/18-9
783.0,,12.4794,,,,,Andrew,211/18-9
783.5,,13.1836,,,,,Andrew,211/18-9
784.0,,13.9318,,,,,Andrew,211/18-9
784.5,,14.573,,,,,Andrew,211/18-9
785.0,,14.7067,,,,,Andrew,211/18-9
785.5,,15.4914,,,,,Andrew,211/18-9
786.0,,16.7073,,,,,Andrew,211/18-9
786.5,,18.1613,,,,,Andrew,211/18-9
787.0,,18.7474,,,,,Andrew,211/18-9
787.5,,19.8343,,,,,Andrew,211/18-9
788.0,,20.6511,,,,,Andrew,211/18-9
788.5,,19.3651,,,,,Andrew,211/18-9
789.0,,16.3214,,,,,Andrew,211/18-9
789.5,,14.9134,,,,,Andrew,211/18-9
790.0,,14.1863,,,,,Andrew,211/18-9
790.5,,15.212,,,,,Andrew,211/18-9
791.0,,15.4373,,,,,Andrew,211/18-9
791.5,,14.6194,,,,,Andrew,211/18-9
792.0,,14.8308,,,,,Andrew,211/18-9
792.5,,14.8437,,,,,Andrew,211/18-9
793.0,,14.1825,,,,,Andrew,211/18-9
793.5,,13.5106,,,,,Andrew,211/18-9
794.0,,12.9636,,,,,Andrew,211/18-9
794.5,,13.5304,,,,,Andrew,211/18-9
795.0,,13.9635,,,,,Andrew,211/18-9
795.5,,13.9643,,,,,Andrew,211/18-9
796.0,,13.6583,,,,,Andrew,211/18-9
796.5,,14.5757,,,,,Andrew,211/18-9
797.0,,16.8824,,,,,Andrew,211/18-9
797.5,,19.1893,,,,,Andrew,211/18-9
798.0,,19.0372,,,,,Andrew,211/18-9
798.5,,19.6027,,,,,Andrew,211/18-9
799.0,,21.1561,,,,,Andrew,211/18-9
799.5,,20.6887,,,,,Andrew,211/18-9
800.0,,19.1228,,,,,Andrew,211/18-9
800.5,,17.6938,,,,,Andrew,211/18-9
801.0,,16.8875,,,,,Andrew,211/18-9
801.5,,17.6446,,,,,Andrew,211/18-9
802.0,,17.9612,,,,,Andrew,211/18-9
802.5,,18.7815,,,,,Andrew,211/18-9
803.0,,19.7051,,,,,Andrew,211/18-9
803.5,,18.4508,,,,,Andrew,211/18-9
804.0,,16.904,,,,,Andrew,211/18-9
