,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
3348,15/16b- 20,3093,Sola,0.115931,58.389639,,
3349,15/16b- 20,3223,Valhall,0.115931,58.389639,,
3350,15/16b- 20,3862,Kimmeridge Clay,0.115931,58.389639,,
3351,15/16b- 20,3955,Piper,0.115931,58.389639,,
3352,15/16b- 20,4130,Pentland,0.115931,58.389639,,
3367,15/17- 10,618,Horda,0.271001,58.410675,,
3368,15/17- 10,805,Middle Mousa,0.271001,58.410675,,
3369,15/17- 10,1045,Horda,0.271001,58.410675,,
3370,15/17- 10,1162,Balder,0.271001,58.410675,BEAULY,MORAY
3371,15/17- 10,1502,Sele,0.271001,58.410675,DORNOCH,MORAY
3372,15/17- 10,1629,Lista,0.271001,58.410675,LISTA,MONTROSE
3373,15/17- 10,2234,Maureen,0.271001,58.410675,MAUREEN,MONTROSE
3374,15/17- 10,2343,Ekofisk,0.271001,58.410675,EKOFISK,CHALK
3375,15/17- 10,2378,Upper Cretaceous Chalk,0.271001,58.410675,TOR,CHALK
3376,15/17- 10,3103,Rodby,0.271001,58.410675,,
3377,15/17- 10,3130,Sola,0.271001,58.410675,,
3378,15/17- 10,3164,Valhall,0.271001,58.410675,,
3379,15/17- 10,3368,Kimmeridge Clay,0.271001,58.410675,,
3380,15/17- 10,3424,Piper,0.271001,58.410675,,
3381,15/17- 10,3462,Pentland,0.271001,58.410675,,
3382,15/17- 10,3616,Smith Bank,0.271001,58.410675,,
3383,15/17- 10,3718,Halibut Carbonate,0.271001,58.410675,,
3384,15/17- 10,3767,Kupferschiefer,0.271001,58.410675,,
3385,15/17- 10,3769,Carboniferous Undifferentiated,0.271001,58.410675,,
3456,15/17- 15,671,Horda,0.370972,58.390833,,
3457,15/17- 15,903,Middle Mousa,0.370972,58.390833,,
3458,15/17- 15,1132,Horda,0.370972,58.390833,,
3459,15/17- 15,1380,Balder,0.370972,58.390833,BEAULY,MORAY
3460,15/17- 15,1507,Dornoch,0.370972,58.390833,DORNOCH,MORAY
3461,15/17- 15,1564,Sele,0.370972,58.390833,DORNOCH,MORAY
3462,15/17- 15,1692,Lista,0.370972,58.390833,LISTA,MONTROSE
3463,15/17- 15,2423,Maureen,0.370972,58.390833,MAUREEN,MONTROSE
