,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
335,14/20-1,9.352,,,,Middle Mousa,,
336,14/20-1,9.3076,,,,Middle Mousa,,
337,14/20-1,9.344,,,,Middle Mousa,,
338,14/20-1,9.34,,,,Middle Mousa,,
339,14/20-1,9.536,,,,Middle Mousa,,
340,14/20-1,9.532,,,,Middle Mousa,,
341,14/20-1,9.528,,,,Middle Mousa,,
342,14/20-1,9.524,,,,Middle Mousa,,
343,14/20-1,9.92,,,,Middle Mousa,,
344,14/20-1,10.116,,,,Middle Mousa,,
345,14/20-1,10.112,,,,Middle Mousa,,
346,14/20-1,10.308,,,,Middle Mousa,,
347,14/20-1,11.104,,,,Middle Mousa,,
348,14/20-1,11.5,,,,Middle Mousa,,
349,14/20-1,11.696,,,,Middle Mousa,,
350,14/20-1,11.692,,,,Middle Mousa,,
351,14/20-1,11.9506,,,,Middle Mousa,,
352,14/20-1,12.284,,,,Middle Mousa,,
353,14/20-1,12.68,,,,Middle Mousa,,
354,14/20-1,12.876,,,,Middle Mousa,,
355,14/20-1,13.272,,,,Middle Mousa,,
356,14/20-1,12.9919,,,,Middle Mousa,,
357,14/20-1,12.3816,,,,Middle Mousa,,
358,14/20-1,11.7292,,,,Middle Mousa,,
359,14/20-1,11.456,,,,Middle Mousa,,
360,14/20-1,11.052,,,,Middle Mousa,,
361,14/20-1,10.748,,,,Middle Mousa,,
362,14/20-1,10.844,,,,Middle Mousa,,
363,14/20-1,11.2322,,,,Middle Mousa,,
364,14/20-1,11.43,,,,Middle Mousa,,
365,14/20-1,11.432,,,,Middle Mousa,,
366,14/20-1,11.428,,,,Middle Mousa,,
367,14/20-1,11.7356,,,,Middle Mousa,,
368,14/20-1,11.82,,,,Middle Mousa,,
369,14/20-1,11.816,,,,Middle Mousa,,
370,14/20-1,11.812,,,,Middle Mousa,,
371,14/20-1,11.376,,,,Middle Mousa,,
372,14/20-1,10.8287,,,,Middle Mousa,,
373,14/20-1,10.3,,,,Middle Mousa,,
374,14/20-1,9.9911,,,,Middle Mousa,,
375,14/20-1,9.792,,,,Middle Mousa,,
376,14/20-1,9.788,,,,Middle Mousa,,
377,14/20-1,9.784,,,,Middle Mousa,,
378,14/20-1,9.78,,,,Middle Mousa,,
379,14/20-1,9.776,,,,Middle Mousa,,
380,14/20-1,9.972,,,,Middle Mousa,,
381,14/20-1,9.968,,,,Middle Mousa,,
382,14/20-1,10.743,,,,Middle Mousa,,
383,14/20-1,11.3441,,,,Middle Mousa,,
384,14/20-1,11.556,,,,Middle Mousa,,
385,14/20-1,11.6537,,,,Middle Mousa,,
386,14/20-1,11.748,,,,Middle Mousa,,
387,14/20-1,11.7324,,,,Middle Mousa,,
388,14/20-1,11.54,,,,Middle Mousa,,
389,14/20-1,11.736,,,,Middle Mousa,,
390,14/20-1,11.9971,,,,Middle Mousa,,
391,14/20-1,12.728,,,,Middle Mousa,,
392,14/20-1,13.224,,,,Middle Mousa,,
393,14/20-1,13.32,,,,Middle Mousa,,
394,14/20-1,13.316,,,,Middle Mousa,,
395,14/20-1,13.312,,,,Middle Mousa,,
396,14/20-1,13.6165,,,,Middle Mousa,,
397,14/20-1,14.3623,,,,Middle Mousa,,
398,14/20-1,14.6072,,,,Middle Mousa,,
399,14/20-1,14.498,,,,Middle Mousa,,
400,14/20-1,14.496,,,,Middle Mousa,,
401,14/20-1,14.494,,,,Middle Mousa,,
402,14/20-1,14.492,,,,Middle Mousa,,
403,14/20-1,14.49,,,,Middle Mousa,,
404,14/20-1,14.488,,,,Middle Mousa,,
405,14/20-1,14.486,,,,Middle Mousa,,
406,14/20-1,14.484,,,,Middle Mousa,,
407,14/20-1,13.482,,,,Middle Mousa,,
408,14/20-1,13.28,,,,Middle Mousa,,
409,14/20-1,13.078,,,,Middle Mousa,,
410,14/20-1,13.076,,,,Middle Mousa,,
411,14/20-1,12.974,,,,Middle Mousa,,
412,14/20-1,13.072,,,,Middle Mousa,,
413,14/20-1,13.27,,,,Middle Mousa,,
414,14/20-1,13.4994,,,,Middle Mousa,,
415,14/20-1,14.0977,,,,Middle Mousa,,
416,14/20-1,14.264,,,,Middle Mousa,,
417,14/20-1,14.462,,,,Middle Mousa,,
418,14/20-1,14.46,,,,Middle Mousa,,
419,14/20-1,15.358,,,,Middle Mousa,,
420,14/20-1,15.456,,,,Middle Mousa,,
421,14/20-1,16.054,,,,Middle Mousa,,
422,14/20-1,16.052,,,,Middle Mousa,,
423,14/20-1,16.05,,,,Middle Mousa,,
424,14/20-1,16.048,,,,Middle Mousa,,
425,14/20-1,16.246,,,,Middle Mousa,,
426,14/20-1,16.244,,,,Middle Mousa,,
427,14/20-1,16.042,,,,Middle Mousa,,
428,14/20-1,16.04,,,,Middle Mousa,,
429,14/20-1,16.038,,,,Middle Mousa,,
430,14/20-1,16.036,,,,Middle Mousa,,
431,14/20-1,16.034,,,,Middle Mousa,,
432,14/20-1,16.232,,,,Middle Mousa,,
433,14/20-1,16.5306,,,,Middle Mousa,,
434,14/20-1,16.628,,,,Middle Mousa,,
435,14/20-1,16.9342,,,,Middle Mousa,,
436,14/20-1,17.024,,,,Middle Mousa,,
