OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
360,14/19- 9,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,-0.328213092999988,58.41934041500002
364,13/23d- 8,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-1.4250592739999774,58.18849506800001
365,13/24- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-1.3662819900000045,58.237262593000025
374,13/24b- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,-1.3537351890000195,58.205094583000005
376,13/26a- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,-1.8425079470000014,58.056191919000014
377,13/26a- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-1.8302345860000173,58.07700583000002
383,13/27a- 4,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,-1.7877584679999927,58.076327350999975
390,113/27a- 5,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.759643106999988,53.99993366000001
392,113/27b- 6,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.674856630000022,54.06594285699998
396,113/28- 2,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.4060210769999912,54.105373515999986
397,113/28a- 3,OGA Offshore Wells,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.536377517999995,54.147303233
399,113/29a- 3,OGA Offshore Wells,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.3694195109999896,54.11231220100001
403,12/16- 2,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-2.8298334849999947,58.429586658000005
405,12/18- 1,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-2.516855437000004,58.46967520800001
406,12/20b- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-2.12729754999998,58.343973689999984
408,12/21- 2,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-2.9854932000000076,58.19254802400002
418,13/22a- 22,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.6685584250000147,58.31553157100001
419,13/22a- 23,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.66641708100002,58.287735586
423,13/22a- 27,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.6271272949999798,58.314248056
425,13/22a- 29,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.642165451999972,58.309255681000025
426,13/22a- 3,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.711881496999979,58.29299019299998
428,13/22a- 6,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-1.7180610539999748,58.323097210000014
429,13/22a- 7,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.7464471229999958,58.308832326000015
459,15/26- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.13048065399999587,58.096168331
